"Note","Course","Module","Clip","Time in Clip","URL"
"Constructor Funcions","JavaScript Objects and Prototypes","Creating JavaScript Objects","Using Constructor Functions to Create JavaScript Objects","3:28","https://app.pluralsight.com/player?course=javascript-objects-prototypes&author=jim-cooper&name=javascript-objects-prototypes-m1&clip=4&mode=live&start=208.85716&noteid=0888b85d-862e-420d-9e27-480deff9a057"
"Class Construction of object Method","JavaScript Objects and Prototypes","Creating JavaScript Objects","Using ECMAScript 6 Classes to Create JavaScript Objects","0:34","https://app.pluralsight.com/player?course=javascript-objects-prototypes&author=jim-cooper&name=javascript-objects-prototypes-m1&clip=6&mode=live&start=34.962042&noteid=76614622-d7b5-4a66-8e45-5e1494a084e9"
"Alternative bracket notation to dot notation","JavaScript Objects and Prototypes","JavaScript Object Properties","Using Bracket Notation to Access JavaScript Properties","0:14","https://app.pluralsight.com/player?course=javascript-objects-prototypes&author=jim-cooper&name=javascript-objects-prototypes-m2&clip=1&mode=live&start=14.61063&noteid=4d397588-e7d2-4e4a-833e-e5d446422842"
"Every propery has a Property Descriptor used to see the attributes of that property","JavaScript Objects and Prototypes","JavaScript Object Properties","Using JavaScript Property Descriptors","0:00","https://app.pluralsight.com/player?course=javascript-objects-prototypes&author=jim-cooper&name=javascript-objects-prototypes-m2&clip=2&mode=live&start=0.494001&noteid=eed34a5c-c247-46df-b33f-7a1f15136528"
"Property Descriptor SYNTAX:\nObject.getOwnPropertyDescriptor(objName, 'property')","JavaScript Objects and Prototypes","JavaScript Object Properties","Using JavaScript Property Descriptors","0:27","https://app.pluralsight.com/player?course=javascript-objects-prototypes&author=jim-cooper&name=javascript-objects-prototypes-m2&clip=2&mode=live&start=27.650298&noteid=7f6d5db9-8141-4b3b-9fcc-7cf8d0842472"
"Define Property SYNTAX:\nObject.defineProperty(obj, 'prop', {propertydescriptoryourwant: boolean})","JavaScript Objects and Prototypes","JavaScript Object Properties","Using the Writable Attribute","0:19","https://app.pluralsight.com/player?course=javascript-objects-prototypes&author=jim-cooper&name=javascript-objects-prototypes-m2&clip=3&mode=live&start=19.54604&noteid=7a667b9e-3556-4325-800e-8287d5386188"
"Always Use 'use strict';  mode!!","JavaScript Objects and Prototypes","JavaScript Object Properties","Using the Writable Attribute","0:38","https://app.pluralsight.com/player?course=javascript-objects-prototypes&author=jim-cooper&name=javascript-objects-prototypes-m2&clip=3&mode=live&start=38.011252&noteid=13fe0758-1237-4b1a-b9a2-a66e52136401"
"This is important. \nthe name property is just a pointer... and when you make it read-only only the pointer does not change.\n\nInstead, you need ""Object.freeze(cat.name"" example","JavaScript Objects and Prototypes","JavaScript Object Properties","Using the Writable Attribute","1:43","https://app.pluralsight.com/player?course=javascript-objects-prototypes&author=jim-cooper&name=javascript-objects-prototypes-m2&clip=3&mode=live&start=103.712812&noteid=0c22131d-1b7a-42f3-813f-64c08d8ae460"
"So if you have created a property, and you do not want it to be writable, yet you have made a property that has the value of an OBJECT, you'll need to FREEZE the object as well, such that it is not writable.","JavaScript Objects and Prototypes","JavaScript Object Properties","Using the Writable Attribute","2:07","https://app.pluralsight.com/player?course=javascript-objects-prototypes&author=jim-cooper&name=javascript-objects-prototypes-m2&clip=3&mode=live&start=127.242484&noteid=26a429c0-3447-46d5-bcca-7c3bbbd34ad5"
"Properties with ""enumberable"" as true, means they can be 'looped over' with a for...in loop.\n\nfor...in Loop SYNTAX:\nfor (var prop in obj) {\nwhat you want to show\n(i.e.) display(prop + ': ' + obj[prop]\n}","JavaScript Objects and Prototypes","JavaScript Object Properties","Using the Enumerable Attribute","0:55","https://app.pluralsight.com/player?course=javascript-objects-prototypes&author=jim-cooper&name=javascript-objects-prototypes-m2&clip=4&mode=live&start=55.517523&noteid=fb9c8da7-5733-480c-bc41-a558b168b907"
"Changing Enumerability Property SYNTAX:\nObject.defineProperty(obj, 'prop', {propertydescriptoryouwanttochange: boolean})","JavaScript Objects and Prototypes","JavaScript Object Properties","Using the Enumerable Attribute","0:59","https://app.pluralsight.com/player?course=javascript-objects-prototypes&author=jim-cooper&name=javascript-objects-prototypes-m2&clip=4&mode=live&start=59.388375&noteid=5ba37e28-a883-4fc4-baa4-1a9a159c4511"
"Object Keys SYNTAX:\nObject.keys(obj)","JavaScript Objects and Prototypes","JavaScript Object Properties","Using the Enumerable Attribute","1:23","https://app.pluralsight.com/player?course=javascript-objects-prototypes&author=jim-cooper&name=javascript-objects-prototypes-m2&clip=4&mode=live&start=83.998745&noteid=871b37f6-d88b-4416-962c-89c2d8b65645"
"Setting enumerable to false makes it so that:\nThe property is not shown in Object.keys, nor is it displayed in the ""for...in"" loop, and finally --->\nit will affect JSON serialization of the object by not serializing it via JSON.Stringify(obj) <-- so you won't have non-enumerable properties in your JSON.","JavaScript Objects and Prototypes","JavaScript Object Properties","Using the Enumerable Attribute","1:45","https://app.pluralsight.com/player?course=javascript-objects-prototypes&author=jim-cooper&name=javascript-objects-prototypes-m2&clip=4&mode=live&start=105.683054&noteid=2270b22f-0541-4371-9445-5184c7b1aae0"
"You can still view non-enumerable properties via dot or bracket notation.","JavaScript Objects and Prototypes","JavaScript Object Properties","Using the Enumerable Attribute","2:18","https://app.pluralsight.com/player?course=javascript-objects-prototypes&author=jim-cooper&name=javascript-objects-prototypes-m2&clip=4&mode=live&start=138.004652&noteid=b350d9ed-94f6-469c-9e4d-f51ece1bb323"
